target_cbsa,cbsa_code,county_geoid,tract_geoid,year,eligible_v1,gate_pop,gate_price,gate_density,pop_growth_5yr,units_per_1k_3yr,pop_density,price_proxy_pctl,commute_intensity_b,growth_raw,units_raw,headroom_raw,price_raw,commute_raw,z_growth,z_units,z_headroom,z_price,z_commute,contrib_growth,contrib_units,contrib_headroom,contrib_price,contrib_commute,tract_score,tract_rank,why_tags,is_scored
27260,27260,12003,12003040101,2024,1,1,1,1,0.23321657910099242,14.950690335305719,288.5821301990919,0.392948717948718,20.64106824502031,0.23321657910099242,14.950690335305719,-288.5821301990919,-0.392948717948718,20.64106824502031,0.6222963626418765,-1.2531088955559597,1.107717812215431,0.12037837022274746,0.14839169606757843,0.2489185450567506,-0.31327722388898993,0.2215435624430862,0.012037837022274747,0.007419584803378922,0.17664230543650053,23,Low density headroom | Moderate price pressure,TRUE
27260,27260,12003,12003040102,2024,1,1,1,1,0.1279932782523456,15.68384026484585,80.67455805059053,0.28088827838827835,22.90505509458285,0.1279932782523456,15.68384026484585,-80.67455805059053,-0.28088827838827835,22.90505509458285,-0.5236719016481489,-1.2525351942539038,1.3022964418780223,0.7099078977119723,0.5641388866235391,-0.20946876065925957,-0.31313379856347595,0.26045928837560445,0.07099078977119723,0.028206944331176955,-0.16294553674475684,47,Low density headroom | Moderate price pressure,TRUE
27260,27260,12003,12003040201,2024,0,0,1,1,-0.21305463879721306,19.623071347209276,15.831189228987546,0.27433150183150184,33.91391194634438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
27260,27260,12003,12003040202,2024,0,0,1,1,-0.09110485340400862,23.024117611323735,110.98796253602929,0.35043040293040295,28.52091162749833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
27260,27260,12019,12019030103,2024,0,0,1,1,0.030122655122655124,359.0147668242573,598.6756615935731,0.12361263736263736,30.238671818201983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
27260,27260,12019,12019030104,2024,1,1,1,1,0.09740932642487046,484.02581051306265,113.49858364971345,0.49122710622710625,22.993470984178288,0.09740932642487046,484.02581051306265,-113.49858364971345,-0.49122710622710625,22.993470984178288,-0.8567562841774028,-0.8860502676205257,1.2715767626711234,-0.3966462999590254,0.5803751371595844,-0.34270251367096116,-0.22151256690513144,0.2543153525342247,-0.03966462999590254,0.029018756857979222,-0.3205456011797912,59,Low density headroom | Moderate price pressure,TRUE
27260,27260,12019,12019030105,2024,0,0,1,1,NA,546.901395927803,120.30817242377125,0.07531135531135531,32.5590831204531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
27260,27260,12019,12019030106,2024,0,0,1,1,NA,442.64536557282673,628.867308742885,0.20739468864468866,29.440805134235884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
27260,27260,12019,12019030204,2024,0,1,0,1,NA,239.83311888330022,378.9626622061772,0.7526007326007327,27.2349666097623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
27260,27260,12019,12019030205,2024,0,1,0,1,NA,115.21963098248573,1612.0133530614062,0.7455906593406594,16.756533701752144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
27260,27260,12019,12019030206,2024,1,1,1,1,NA,233.656220322887,1037.8683984820284,0.4292216117216117,21.416347887734318,NA,233.656220322887,-1037.8683984820284,-0.4292216117216117,21.416347887734318,-0.14363030827039658,-1.0819683930950488,0.40646824347267263,-0.07044670605287683,0.2907601614214555,-0.05745212330815863,-0.2704920982737622,0.08129364869453454,-0.007044670605287683,0.014538008071072776,-0.2391572354216012,52,Low density headroom | Moderate price pressure,TRUE
27260,27260,12019,12019030207,2024,0,0,0,1,NA,294.84229699932894,3087.8812013030856,0.7097985347985347,23.254029685892558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
27260,27260,12019,12019030208,2024,1,1,1,1,NA,640.9294571220173,2159.874632522332,0.5616483516483517,32.565143844569356,NA,640.9294571220173,-2159.874632522332,-0.5616483516483517,32.565143844569356,-0.14363030827039658,-0.76327070681047,-0.6436062354717954,-0.7671196240083951,2.338069136750282,-0.05745212330815863,-0.1908176767026175,-0.1287212470943591,-0.07671196240083951,0.11690345683751412,-0.33679955266846057,61,Low density headroom | High commute exposure,TRUE
